ID,seg_words
1,"[['辉夜', 'op']]"
2,"[['真', '•', '冥', '场面']]"
3,"[['小女孩', '声优', '整活', '这方面', '一流']]"
4,"[['这要', '换', '我妈', '杀手', '很酷']]"
5,"[['辉夜', 'bgm']]"
6,"[['瓜娃', '声音', '好可爱']]"
7,"[['拉面', '馊', '拉面', '馊']]"
8,"[['番名', '尼亚', '吃瓜记']]"
9,"[['瓜神', '真的', '养', '好瓜'], ['请问', '这瓜', '钱', '一斤']]"
10,"[['拼凑', '一家人']]"
11,"[['一家人', '爸爸', '特工', '妈妈', '杀手', '女儿', '超能力'], []]"
12,"[['辉夜', 'op']]"
13,"[['600', '点错', 'doge']]"
14,"[['世界', '顶尖', '暗杀', '转生', '为异', '世界', '贵族', 'OP']]"
15,"[['番名', '间谍', '过家家']]"
16,"[['尤里', '感觉']]"
17,"[['瓜神', '配音', '到位']]"
18,"[['三月份', '一刻']]"
19,"[['番名', '尼亚', '吃瓜记']]"
20,"[['震惊', '女儿', '整年']]"
21,"[['声优', '哈哈']]"
22,"[['老师', '雪', '婚后', '生活']]"
23,"[['辉夜', '啥意思', '四月']]"
24,"[['会长', '副会长', '婚后', '生活']]"
25,"[['辉夜', 'op']]"
26,"[['卢', '背景音乐']]"
27,"[['辉夜', '放', '歌', '礼貌']]"
28,"[['手榴弹', '拉环', '结婚戒指']]"
29,"[['炮灰', '冥', '场面']]"
30,"[['不想', '追'], ['杀手', '脸红']]"
31,"[['辉夜', 'op', '不见', '拿走']]"
32,"[['暗杀', '刚用', '完', 'op'], ['暗杀']]"
33,"[['狗狗', '值得', '出镜', '哈哈哈哈']]"
34,"[['杀手', '特工', '超能力']]"
35,"[['草', '歌单', '响']]"
36,"[['荷包蛋'], ['阿尼娅', '限定版']]"
37,"[['新版', '游戏王', '声优']]"
38,"[['一只', '预知', '未来', '修狗']]"
39,"[['司波', '声线']]"
40,"[['莫名', '合适']]"
41,"[['行走', '表情', '包']]"
42,"[['哈哈哈哈哈哈哈', '孩子']]"
43,"[['三明', '间谍', '过家家']]"
44,"[['老师', '结婚', '雪', '养', '双叶']]"
45,"[['bgm', '梦回', '寒假']]"
46,"[['好像', '老师', '雪', '声优']]"
47,"[['三月', '一秒', '不想', '呆']]"
48,"[['雪', '老师', '婚后', '生活']]"
49,"[['老师', '考哥', '笑']]"
50,[['番名']]
51,"[['杀手', '间谍', '期待']]"
52,"[['女儿', '鸭', '没洛', '哈哈']]"
53,"[['表情', '包', 'bgm']]"
54,"[['间谍', '过家家', '放', '暗杀', 'bgm', '太', '刺激', '哈哈']]"
55,"[['银', '御', '行']]"
56,"[['尼亚', '睡颜', '表情', '包']]"
57,"[['漫画', '笑', '肚子痛']]"
58,"[['o', '米', '四达', 'o', '米', '四达']]"
59,"[['爸爸', '无语']]"
60,"[['白银', 'tm', '礼貌']]"
61,"[['季度', '一分钟']]"
62,"[['漫画', '更新', '完']]"
63,"[['白银', '和辉', '夜异', '世界', '一家人']]"
64,"[['不愧', '老师', '女儿', '哪有', '千叶', '人不爱', '花生']]"
65,"[['真的', '喜欢', '太太', '强', '女人']]"
66,[[]]
67,"[['哈哈哈哈哈', '三月', '结束']]"
68,"[['白银', '御行', '婚后', '生活']]"
69,"[['不哭', '请', '吃', '花生米']]"
70,"[['哈哈', '读心术']]"
71,"[['瓜神'], ['瓜神']]"
72,"[['荆棘', '公主']]"
73,"[['张宇', '唱歌', 'doge']]"
74,"[['不愧', '华哥']]"
75,"[['路易十六', '快乐', '台']]"
76,"[['老师', '雪', '婚后', '生活']]"
77,"[['声优', '老师', '同一个']]"
78,"[['声音', '好像', '老师']]"
